id,Name,titleProject_id,class,score,login,password
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,emLJiBVt
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,NxsxPtSN
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,liEyj8BY
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,5XxVCm3Z
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,ZrrPOQrF
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,ouEVHQis
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,acALcigk
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,dfYA6sUD
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,kCOJ88x9
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,3yLNdde1
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,NwNZJ3pv
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,oqjvz7Sz
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,aTKtaZqN
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,DAWN9FBo
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,vZ3ddSSU
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,1MKk4jzg
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,5mCcyKjx
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,hRwntAto
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,LG1s8tXW
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,qePpXCBZ
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,RJBFiTaB
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,jxP3JAZ1
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,xmEeHVbo
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,jSyxwrbg
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,LEYOZnUi
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,SKrYDrbl
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,G14H6W6o
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,Gaz3DbYv
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,grbVzHjb
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,5BSnuMtY
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,oTIghBS8
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,JQtpBfFo
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,aDcBeLXm
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,TKD5kwJx
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,NUXkvr9r
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,UBZrzltI
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,hivp1dkt
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,CnEKZbeW
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,fQDZxZo7
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,RnXOAK5K
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,t8jyjvnS
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,juF3fDbG
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,DDtJrQPF
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,kiKEMTUs
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,6DBe1jhJ
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,qhnaJulW
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,bFEW9IAr
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,QG85d9gq
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,UOeSvgGC
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,YJYXIwzw
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,WOm9wA1a
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,NUxl3Kxd
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,3TQr2UKN
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,yNw6bWix
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,juVUDeIW
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,EUE9p6cr
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,AyMwXUXU
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,rqbHuYlo
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,eqYbbWsL
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,p7PyJbgf
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,ACqoCqWM
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,H6ixX5gU
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,LbyskGTB
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,5NY2Ezmj
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,1hRBPGhb
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,Axz6CGWU
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,tCUFMOof
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,Utbu3jCo
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,63XRBmiN
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,zJzsoXwl
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,7VI6SSzB
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,9aJlPvHJ
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,dXVP6bJW
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,tpSzs1zK
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,Lj6OOlzW
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,1vO3dGuG
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,niZu2Nsj
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,T4YBZ72c
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,Mtc2oKBl
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,qjjb4xmo
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,h4qrGEyV
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,Mdi6Xvpf
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,lPYCBqIs
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,4c1QIHCH
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,QQveyVEI
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,T9WFkALx
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,xj7OCFPT
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,uo6I1snk
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,JZhpZMHG
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,svHTVitl
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,KMx6i3ky
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,roXlLTLC
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,RstPWC6X
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,RnWYaY4H
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,wZbgx6zH
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,ZaqhloeB
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,9uHQMpTW
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,tstKzK7Y
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,8LTT9fuk
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,oCOzwoUf
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,5OTKFnal
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,GahTfCvb
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,LneYhJa5
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,xJyo1dZg
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,48JXurmv
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,AcecEUCm
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,zracPqJC
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,X4MfBAll
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,wvNTO63U
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,gTcpwT7h
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,PSZyZxkW
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,RtImkfzL
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,hpAPPooD
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,VEYlbbY4
438,Милина Алена Петровна,359,8г,3,Милина_АП,G6LJy5wK
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,QQmROpI2
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,5X9hTNvt
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,RS4s31uT
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,CkeagtaA
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,NAmYle3c
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,luxjHI1q
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,MTRmfCcJ
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,TLX9PzCs
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,fGPIdcjv
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,qFCqFSge
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,SO8WkcaR
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,SKWLpPAi
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,2FtC2SFc
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,KKmDAMwO
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,nBuiWuxk
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,xHw1dezf
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,6Gl44fiK
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,MMgpfFON
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,JD2t7imG
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,jfr2XEYV
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,4SbMQey1
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,yVouScR4
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,VC14bbDo
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,2PtsTYkS
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,xTrRsVGj
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,cyNhGfGk
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,tS5liXDy
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,FBvUtXNx
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,Yl54IGN7
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,vZZc7ZKc
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,7UZaqpiz
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,p6xaEWvY
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,ovSfT1I5
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,kDGZU2v3
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,PmrJ7mBU
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,mjvysftw
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,QkSZ5Xyw
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,YvIy85lJ
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,DgFfayy5
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,esJLJ1tP
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,rx7nZjN3
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,OAmLrwDw
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,88jkIKcx
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,PB5WF5cc
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,HRMWuo75
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,UizZswFH
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,Dly6DaK6
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,Gb4CYht9
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,gxWHmSQN
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,h1LY3vHZ
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,ZZE97xCO
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,imVNNTVe
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,eKhKJ4vA
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,9NrQ5pG6
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,wfxzZrpt
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,AVZyWM8g
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,QWfXNynx
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,NnEem2fz
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,N79e2l7D
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,ckIOn1IZ
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,CxluN7MC
